"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","[TC-011]: filters by firstname and lastname combined","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","retrieve bookings — GET /booking & GET /booking/:id","api/functional/booking-retrieve.spec.ts","",""
"","31","[TC-016]: returns Content-Type: application/xml for an XML response","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","retrieve bookings — GET /booking & GET /booking/:id","api/functional/booking-retrieve.spec.ts","",""
"","30","[TC-008]: Validation: Empty booking payload (all required fields missing)","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","booking validation","api/functional/booking-validation.spec.ts","",""
"","32","[TC-009]: returns a 500 for an unsupported Content-Type instead of a 4xx","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","create booking — POST /booking","api/functional/booking-create.spec.ts","",""
"","83","[TC-028]: deleting an already-deleted booking returns 404, not 405","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","delete booking — DELETE /booking/:id","api/functional/booking-delete.spec.ts","",""
"","56","[TC-021]: succeeds with a valid Cookie token even when a fake Authorization header is also present","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","update booking — PUT & PATCH /booking/:id","api/functional/booking-update.spec.ts","",""
"","31","[TC-013]: returns no matches for an empty query parameter value","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","retrieve bookings — GET /booking & GET /booking/:id","api/functional/booking-retrieve.spec.ts","",""
"","32","[TC-008]: Validation: Non-boolean depositpaid value","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","booking validation","api/functional/booking-validation.spec.ts","",""
"","32","[TC-002]: rejects an incorrect username","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","authentication — POST /auth","api/functional/auth.spec.ts","",""
"","57","[TC-024]: rejects a PATCH request with no authorization","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","update booking — PUT & PATCH /booking/:id","api/functional/booking-update.spec.ts","",""
"","30","[TC-008]: Validation: Missing checkout date","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","booking validation","api/functional/booking-validation.spec.ts","",""
"","58","[TC-019]: fully replaces a booking via PUT with a valid token","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","update booking — PUT & PATCH /booking/:id","api/functional/booking-update.spec.ts","",""
"","32","[TC-018]: rejects a malformed date filter instead of silently matching","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","retrieve bookings — GET /booking & GET /booking/:id","api/functional/booking-retrieve.spec.ts","",""
"","73","Bookings - Update Booking - Full","Newman: Restful Booker API","2026-08-31","passed","2026-08-31","","","",""
"","71","Bookings - Update Booking - Partial","Newman: Restful Booker API","2026-08-31","passed","2026-08-31","","","",""
"","39","[TC-007]: returns Content-Type: application/xml for an XML response","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","create booking — POST /booking","api/functional/booking-create.spec.ts","",""
"","31","[TC-032]: GET /booking response matches the booking-list schema","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","response schema validation","api/integration/schema-validation.spec.ts","",""
"","31","[TC-015]: gets a single booking by id","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","retrieve bookings — GET /booking & GET /booking/:id","api/functional/booking-retrieve.spec.ts","",""
"","30","[TC-008]: Validation: Missing totalprice","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","booking validation","api/functional/booking-validation.spec.ts","",""
"","29","[TC-008]: Validation: Missing checkin date","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","booking validation","api/functional/booking-validation.spec.ts","",""
"","31","[TC-029]: 2. Create new booking record","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","booking Transactional CRUD Lifecycle","api/integration/booking-crud.spec.ts","",""
"","86","[TC-031]: stores injection-style inputs instead of erroring","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","create booking — POST /booking","api/functional/booking-create.spec.ts","",""
"","30","[TC-009]: returns a 500 for a text/plain Content-Type instead of a 4xx","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","create booking — POST /booking","api/functional/booking-create.spec.ts","",""
"","164","[Smoke]: API engine verification - healthcheck","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","framework sanity check","sanity.spec.ts","",""
"","29","[TC-004]: rejects unsupported HTTP methods","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","authentication — POST /auth","api/functional/auth.spec.ts","",""
"","56","[TC-027]: rejects a delete request with a malformed token","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","delete booking — DELETE /booking/:id","api/functional/booking-delete.spec.ts","",""
"","56","[TC-029]: 5. Delete record and confirm 404","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","booking Transactional CRUD Lifecycle","api/integration/booking-crud.spec.ts","",""
"","82","[TC-026]: deletes a booking with a valid token, then 404s on lookup","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","delete booking — DELETE /booking/:id","api/functional/booking-delete.spec.ts","",""
"","32","[TC-016]: honors Accept: application/xml for a single booking","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","retrieve bookings — GET /booking & GET /booking/:id","api/functional/booking-retrieve.spec.ts","",""
"","33","[TC-012]: filters by checkin and checkout dates","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","retrieve bookings — GET /booking & GET /booking/:id","api/functional/booking-retrieve.spec.ts","",""
"","35","[TC-003]: returns 415 for a non-JSON Content-Type instead of a misleading Bad credentials","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","authentication — POST /auth","api/functional/auth.spec.ts","",""
"","34","[TC-005]: creates a booking from a valid JSON payload","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","create booking — POST /booking","api/functional/booking-create.spec.ts","",""
"","31","[TC-013]: ignores an unknown query parameter","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","retrieve bookings — GET /booking & GET /booking/:id","api/functional/booking-retrieve.spec.ts","",""
"","33","[TC-006]: creates a booking from an XML payload","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","create booking — POST /booking","api/functional/booking-create.spec.ts","",""
"","56","[TC-024]: rejects a PUT request with a fake Authorization header","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","update booking — PUT & PATCH /booking/:id","api/functional/booking-update.spec.ts","",""
"","37","[TC-002]: rejects a request missing the username field","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","authentication — POST /auth","api/functional/auth.spec.ts","",""
"","29","[TC-032]: PATCH /booking/:id response matches the booking schema","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","response schema validation","api/integration/schema-validation.spec.ts","",""
"","31","[TC-008]: Validation: Null additionalneeds value","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","booking validation","api/functional/booking-validation.spec.ts","",""
"","30","[TC-008]: Validation: Additional needs with special characters","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","booking validation","api/functional/booking-validation.spec.ts","",""
"","30","[TC-008]: Validation: Negative totalprice value","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","booking validation","api/functional/booking-validation.spec.ts","",""
"","31","[TC-032]: GET /booking/:id response matches the booking schema","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","response schema validation","api/integration/schema-validation.spec.ts","",""
"","29","[TC-008]: Validation: Empty string for firstname and lastname","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","booking validation","api/functional/booking-validation.spec.ts","",""
"","308","Auth - Create Token","Newman: Restful Booker API","2026-08-31","passed","2026-08-31","","","",""
"","55","[TC-023]: ignores unexpected extra fields on PATCH","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","update booking — PUT & PATCH /booking/:id","api/functional/booking-update.spec.ts","",""
"","60","[TC-025]: updating a non-existent booking id returns 404, not 405","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","update booking — PUT & PATCH /booking/:id","api/functional/booking-update.spec.ts","",""
"","30","[TC-008]: Validation: Zero totalprice value","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","booking validation","api/functional/booking-validation.spec.ts","",""
"","56","[TC-021]: accepts Basic Auth as an alternative to the token cookie","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","update booking — PUT & PATCH /booking/:id","api/functional/booking-update.spec.ts","",""
"","82","[TC-022]: rejects a PUT with an empty body instead of wiping the booking","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","update booking — PUT & PATCH /booking/:id","api/functional/booking-update.spec.ts","",""
"","34","[TC-002]: rejects an incorrect password","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","authentication — POST /auth","api/functional/auth.spec.ts","",""
"","30","[TC-008]: Validation: Invalid date format for checkin","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","booking validation","api/functional/booking-validation.spec.ts","",""
"","54","[TC-027]: rejects a delete request with no authorization","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","delete booking — DELETE /booking/:id","api/functional/booking-delete.spec.ts","",""
"","29","[TC-008]: Validation: Floating-point totalprice value","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","booking validation","api/functional/booking-validation.spec.ts","",""
"","161","[TC-001]: valid credentials return a token","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","authentication — POST /auth","api/functional/auth.spec.ts","",""
"","6","[Smoke]: playwright test runner initializes successfully","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","framework sanity check","sanity.spec.ts","",""
"","31","[TC-011]: filters by firstname","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","retrieve bookings — GET /booking & GET /booking/:id","api/functional/booking-retrieve.spec.ts","",""
"","55","[TC-024]: rejects a PUT request with a malformed token","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","update booking — PUT & PATCH /booking/:id","api/functional/booking-update.spec.ts","",""
"","30","[TC-008]: ignores unexpected extra fields in the payload","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","create booking — POST /booking","api/functional/booking-create.spec.ts","",""
"","29","[TC-008]: Validation: Invalid date format for checkout","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","booking validation","api/functional/booking-validation.spec.ts","",""
"","35","[TC-002]: rejects a request missing the password field","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","authentication — POST /auth","api/functional/auth.spec.ts","",""
"","142","Bookings - Delete Booking","Newman: Restful Booker API","2026-08-31","passed","2026-08-31","","","",""
"","31","[TC-032]: PUT /booking/:id response matches the booking schema","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","response schema validation","api/integration/schema-validation.spec.ts","",""
"","30","[TC-008]: Validation: Missing lastname","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","booking validation","api/functional/booking-validation.spec.ts","",""
"","31","[TC-008]: accepts an illogical date range where checkin is after checkout","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","create booking — POST /booking","api/functional/booking-create.spec.ts","",""
"","31","[TC-029]: 3. Query reservation by ID","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","booking Transactional CRUD Lifecycle","api/integration/booking-crud.spec.ts","",""
"","145","Bookings - Create Booking","Newman: Restful Booker API","2026-08-31","passed","2026-08-31","","","",""
"","30","[TC-008]: Validation: Missing firstname","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","booking validation","api/functional/booking-validation.spec.ts","",""
"","56","[TC-023]: ignores unexpected extra fields on PUT","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","update booking — PUT & PATCH /booking/:id","api/functional/booking-update.spec.ts","",""
"","56","[TC-032]: POST /booking response matches the created-booking schema","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","response schema validation","api/integration/schema-validation.spec.ts","",""
"","31","[TC-011]: filters by lastname","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","retrieve bookings — GET /booking & GET /booking/:id","api/functional/booking-retrieve.spec.ts","",""
"","29","[TC-008]: Validation: Missing depositpaid","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","booking validation","api/functional/booking-validation.spec.ts","",""
"","31","[TC-029]: 1. Authenticate and obtain access token","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","booking Transactional CRUD Lifecycle","api/integration/booking-crud.spec.ts","",""
"","29","[TC-008]: rejects syntactically malformed JSON with a 400","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","create booking — POST /booking","api/functional/booking-create.spec.ts","",""
"","30","[TC-008]: Validation: Non-numeric totalprice value","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","booking validation","api/functional/booking-validation.spec.ts","",""
"","29","[TC-008]: Validation: Empty string for additionalneeds","Playwright: restful-booker-api","2026-08-31","passed","2026-08-31","booking validation","api/functional/booking-validation.spec.ts","",""
